IDX,NORMAN_SusDat_ID,DTXSID,concentration_value,concentration_unit,time_point,IDX_l,station_water_combined,lat,lon,station_name_n,country,water_body_name_n,river_basin_name_n,COORDS,EARTH,EUROPE,MARINE,DETECTED,AGGREGATED,DTXSID_AVAILABLE
419671,NS00010255,DTXSID3021986,0,mg/l,2010-06-07T00:00:00Z,1577,tronchoy 1_larmancon,47.9131958744444,3.93882216583333,tronchoy 1,France,larmancon,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
517150,NS00000258,DTXSID4027608,0,mg/l,2010-05-19T00:00:00Z,1734,sucyenbrie 2_le morbras,48.7788151333333,2.51223965333333,sucyenbrie 2,France,le morbras,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
770582,NS00010883,DTXSID0024266,0,mg/l,2011-04-04T00:00:00Z,1525,vimpelles 2_lauxence,48.44091953,3.173379985,vimpelles 2,France,lauxence,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
524698,NS00010461,DTXSID2024163,0,mg/l,2010-01-19T00:00:00Z,1744,vichelnanteuil 1_lourcq,49.1871691511111,3.26891416722222,vichelnanteuil 1,France,lourcq,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
451243,NS00000096,DTXSID1040320,0,mg/l,2010-11-03T00:00:00Z,1629,athismons 2_lorge,48.7116777208333,2.40073748138889,athismons 2,France,lorge,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
947339,NS00000516,DTXSID2032631,0,mg/l,2011-07-19T00:00:00Z,2120,chaumont 1_la suize,48.1055083797222,5.12274198416667,chaumont 1,France,la suize,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
145628,NS00008168,DTXSID3020679,0,mg/l,2008-07-16T00:00:00Z,1247,la marne a maisonsalfort_NA,606110,2424300,la marne a maisonsalfort,France,marne,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
850918,NS00000148,DTXSID3052725,0,mg/l,2011-10-20T00:00:00Z,2100,cheny 1_larmancon,47.9560084255556,3.53182615611111,cheny 1,France,larmancon,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
603195,NS00000251,DTXSID8052853,0,mg/l,2010-05-26T00:00:00Z,1860,chalonssurvesle 1_la vesle,49.27820687,3.92203354416667,chalonssurvesle 1,France,la vesle,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
57835,NS00000248,DTXSID4022448,0,mg/l,2006-07-31T00:00:00Z,977,andijk rhine rhine nl_rhine,NA,NA,andijk rhine rhine nl,Netherlands,rhine,rhine,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
305367,NS00010822,DTXSID1020431,0,mg/l,2008-08-26T00:00:00Z,1494,eijsden m615_maas,NA,NA,eijsden m615,Netherlands,meuse,meuse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
204977,NS00000487,DTXSID5020449,0,mg/l,2003-09-16T00:00:00Z,1464,groebengracht_NA,140259,158152,groebengracht,Belgium,scheldt,scheldt,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
360272,NS00000251,DTXSID8052853,0,mg/l,2010-06-29T00:00:00Z,1500,stellendam m876_NA,51.809722,4.077778,stellendam m876,Netherlands,haringvliet west,rhine,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
411930,NS00010251,DTXSID4020161,0,mg/l,2010-04-13T00:00:00Z,1564,ourouxenmorvan 2_le chalaux,47.1959728294444,3.97405973305556,ourouxenmorvan 2,France,le chalaux,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
434303,NS00000096,DTXSID1040320,0,mg/l,2010-10-11T00:00:00Z,1601,conflanssurloing 1_le loing,47.9476755761111,2.78615766416667,conflanssurloing 1,France,le loing,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
535645,NS00000180,DTXSID8034324,0,mg/l,2010-05-25T00:00:00Z,1759,trielsurseine 1_la seine,48.9784894877778,2.00114939611111,trielsurseine 1,France,la seine,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
53237,NS00000361,DTXSID5032442,0,mg/l,2008-07-29T00:00:00Z,976,nieuwersluis_rhine,NA,NA,nieuwersluis,Netherlands,rhine,rhine,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
832317,NS00000121,DTXSID6041842,0,mg/l,2011-07-06T00:00:00Z,1568,sinceylesrouvray 1_largentalet,47.4447361905556,4.15410146944444,sinceylesrouvray 1,France,largentalet,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
130593,NS00075402,DTXSID2021446,0,mg/l,2008-06-04T00:00:00Z,1029,leluchov_poprad,49.2960844685,20.9204137782,leluchov,Slovakia,poprad,vistula,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
923998,NS00098479,DTXSID3024235,0,mg/l,2011-01-17T00:00:00Z,1646,alfortville 3_la seine,48.8146538069444,2.41005385833333,alfortville 3,France,la seine,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
872419,NS00000243,DTXSID4024195,0,mg/l,2011-11-17T00:00:00Z,1599,moisenay 1_le ru dancoeuil,48.5588805513889,2.74099100805556,moisenay 1,France,le ru dancoeuil,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
61909,NS00010269,DTXSID4024272,0,mg/l,2006-02-15T00:00:00Z,974,lobith 860_rhine,NA,NA,lobith 860,Netherlands,rhine,rhine,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
